Test Sponsor,System Name,Paralled,Base Threads,Enabled Cores,Enabled Chips,Threads/Core,Base Results,Peak Results
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.30 GHz, Intel Xeon Platinum 8380)",Yes,80,80,2,1,241   ,244   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.60 GHz, Intel Xeon Platinum 8368Q)",Yes,76,76,2,1,243   ,247   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.45 GHz, AMD EPYC 7763",Yes,64,64,1,2,174   ,179   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.00 GHz, AMD EPYC 7663",Yes,112,112,2,2,240   ,247   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 3.70 GHz, AMD EPYC 72F3",Yes,32,16,2,2,146   ,156   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.60 GHz, AMD EPYC 7513",Yes,64,64,2,2,226   ,235   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.00 GHz, AMD EPYC 7713",Yes,64,64,1,2,167   ,171   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.95 GHz, AMD EPYC 75F3",Yes,32,32,1,2,160   ,165   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.00 GHz, AMD EPYC 7663",Yes,56,56,1,2,161   ,164   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 3.70 GHz, AMD EPYC 72F3",Yes,16,8,1,2,89.8 ,94.0 
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.30 GHz, AMD EPYC 7643",Yes,48,48,1,2,158   ,162   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.10 GHz, Intel Xeon Platinum 8352V)",Yes,72,72,2,1,207   ,209   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.20 GHz, Intel Xeon Platinum 8352Y)",Yes,64,64,2,1,218   ,221   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.80 GHz, Intel Xeon Platinum 8362)",Yes,64,64,2,1,239   ,240   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (3.10 GHz, Intel Xeon Gold 6346)",Yes,32,32,2,1,184   ,187   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 3.50 GHz, AMD EPYC 73F3",Yes,32,16,1,2,128   ,132   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 3.20 GHz, AMD EPYC 74F3",Yes,24,24,1,2,142   ,147   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.65 GHz, AMD EPYC 7413",Yes,24,24,1,2,132   ,136   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.60 GHz, AMD EPYC 7513",Yes,32,32,1,2,147   ,151   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 3.50 GHz, AMD EPYC 73F3",Yes,64,32,2,2,192   ,204   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.65 GHz, AMD EPYC 7413",Yes,48,48,2,2,202   ,211   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.75 GHz, AMD EPYC 7453",Yes,56,56,2,2,198   ,204   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.40 GHz, Intel Xeon Platinum 8351N)",Yes,36,36,1,1,143   ,145   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.40 GHz, Intel Xeon Platinum 8360Y)",Yes,72,72,2,1,235   ,235   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.40 GHz, Intel Xeon Platinum 8368)",Yes,76,76,2,1,238   ,241   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.40 GHz, Intel Xeon Gold 6336Y)",Yes,48,48,2,1,195   ,196   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.85 GHz, AMD EPYC 7443",Yes,48,48,2,2,208   ,217   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.85 GHz, AMD EPYC 7443",Yes,24,24,1,2,136   ,141   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.75 GHz, AMD EPYC 7453",Yes,28,28,1,2,131   ,135   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.80 GHz, AMD EPYC 7543P",Yes,32,32,1,2,157   ,162   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 3.00 GHz, AMD EPYC 7313",Yes,32,32,2,2,181   ,192   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 3.20 GHz, AMD EPYC 7343",Yes,64,32,2,2,187   ,196   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 3.00 GHz, AMD EPYC 7313",Yes,32,16,1,2,121   ,124   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 3.20 GHz, AMD EPYC 7343",Yes,32,16,1,2,123   ,127   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.10 GHz, Intel Xeon Gold 5318S)",Yes,48,48,2,1,179   ,180   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.10 GHz, Intel Xeon Gold 6338T)",Yes,48,48,2,1,188   ,190   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.80 GHz, Intel Xeon Gold 6342)",Yes,48,48,2,1,206   ,207   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (3.60 GHz, Intel Xeon Gold 6334)",Yes,32,16,2,2,128   ,129   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.60 GHz, Intel Xeon Platinum 8358)",Yes,64,64,2,1,236   ,236   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (3.00 GHz, Intel Xeon Gold 5317)",Yes,24,24,2,1,144   ,145   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.00 GHz, Intel Xeon Gold 6330)",Yes,56,56,2,1,186   ,187   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.20 GHz, Intel Xeon Platinum 8352S)",Yes,64,64,2,1,221   ,222   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.60 GHz, Intel Xeon Platinum 8358P)",Yes,64,64,2,1,233   ,233   
ASUSTeK Computer Inc.,"ASUS RS300-E11(P12R-M) Server System (3.20 GHz, Intel Xeon E-2388G)",Yes,8,8,1,2,47.2 ,48.0 
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.30 GHz, Intel Xeon Platinum 8352M)",Yes,64,64,2,1,218   ,218   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.45 GHz, AMD EPYC 7763",Yes,128,128,2,2,263   ,270   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.45 GHz, AMD EPYC 7763",Yes,64,64,1,2,177   ,181   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.00 GHz, Intel Xeon Gold 6338)",Yes,64,64,2,1,214   ,214   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.20 GHz, Intel Xeon Gold 6338N)",Yes,64,64,2,1,209   ,210   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.20 GHz, Intel Xeon Gold 6330N)",Yes,56,56,2,1,183   ,184   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.40 GHz, Intel Xeon Gold 6312U)",Yes,24,24,1,1,127   ,128   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.30 GHz, Intel Xeon Gold 6314U)",Yes,32,32,1,1,144   ,145   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.90 GHz, Intel Xeon Gold 6326)",Yes,32,32,2,1,176   ,177   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.10 GHz, Intel Xeon Gold 5318Y)",Yes,48,48,2,1,181   ,183   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (3.20 GHz, Intel Xeon Gold 5315Y)",Yes,32,16,2,2,117   ,118   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.10 GHz, Intel Xeon Gold 5318N)",Yes,48,48,2,1,179   ,181   
ASUSTeK Computer Inc.,"ASUS RS300-E11(P12R-M) Server System (3.50 GHz, Intel Xeon E-2386G)",Yes,6,6,1,2,42.9 ,43.7 
ASUSTeK Computer Inc.,"ASUS RS300-E11(P12R-M) Server System (3.10 GHz, Intel Xeon E-2324G)",Yes,4,4,1,1,34.9 ,35.1 
ASUSTeK Computer Inc.,"ASUS RS300-E11(P12R-M) Server System (2.80 GHz, Intel Xeon E-2378G)",Yes,8,8,1,2,46.4 ,47.1 
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.20 GHz, Intel Xeon Gold 5320)",Yes,52,52,2,1,189   ,190   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.30 GHz, Intel Xeon Gold 5320T)",Yes,40,40,2,1,174   ,175   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.40 GHz, Intel Xeon Silver 4314)",Yes,32,32,2,1,159   ,160   
ASUSTeK Computer Inc.,"ASUS RS300-E11(P12R-M) Server System (3.70 GHz, Intel Xeon E-2374G)",Yes,4,4,1,2,36.2 ,36.8 
ASUSTeK Computer Inc.,"ASUS RS300-E11(P12R-M) Server System (2.60 GHz, Intel Xeon E-2378)",Yes,8,8,1,2,44.6 ,45.3 
ASUSTeK Computer Inc.,"ASUS RS300-E11(P12R-M) Server System (3.20 GHz, Intel Xeon E-2356G)",Yes,6,6,1,2,42.0 ,42.7 
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.10 GHz, Intel Xeon Silver 4310)",Yes,24,24,2,1,126   ,127   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.30 GHz, Intel Xeon Silver 4310T)",Yes,20,20,2,1,117   ,118   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.30 GHz, Intel Xeon Silver 4316)",Yes,40,40,2,1,167   ,169   
ASUSTeK Computer Inc.,"ASUS RS300-E11(P12R-M) Server System (2.90 GHz, Intel Xeon E-2336)",Yes,6,6,1,2,41.6 ,42.2 
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.80 GHz, Intel Xeon Silver 4309Y)",Yes,32,16,2,2,116   ,117   
ASUSTeK Computer Inc.,"ASUS RS300-E11(P12R-M) Server System (2.80 GHz, Intel Xeon E-2314)",Yes,4,4,1,1,31.3 ,31.5 
ASUSTeK Computer Inc.,"ASUS RS300-E11(P12R-M) Server System (3.40 GHz, Intel Xeon E-2334)",Yes,4,4,1,2,35.3 ,35.9 
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.20 GHz, AMD EPYC 7773X",Yes,128,128,2,2,295   ,298   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.20 GHz, AMD EPYC 7773X",Yes,64,64,1,2,193   ,197   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 3.05 GHz, AMD EPYC 7373X",Yes,32,32,2,2,195   ,209   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.80 GHz, AMD EPYC 7473X",Yes,48,48,2,2,224   ,235   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.80 GHz, AMD EPYC 7573X",Yes,64,64,2,2,247   ,257   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.80 GHz, AMD EPYC 7473X",Yes,24,24,1,2,147   ,152   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.80 GHz, AMD EPYC 7573X",Yes,32,32,1,2,167   ,173   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 3.05 GHz, AMD EPYC 7373X",Yes,32,16,1,2,132   ,136   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (2.20 GHz, Intel Xeon Gold 6330N)",Yes,56,56,2,1,183   ,184   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (2.10 GHz, Intel Xeon Silver 4310)",Yes,24,24,2,1,125   ,126   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (2.10 GHz, Intel Xeon Gold 5318S)",Yes,48,48,2,1,179   ,181   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (2.20 GHz, Intel Xeon Gold 5320)",Yes,52,52,2,1,189   ,190   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (2.80 GHz, Intel Xeon Gold 6342)",Yes,48,48,2,1,206   ,207   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (2.30 GHz, Intel Xeon Gold 6314U)",Yes,32,32,1,1,172   ,172   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (2.80 GHz, Intel Xeon Silver 4309Y)",Yes,32,16,2,2,134   ,134   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (2.40 GHz, Intel Xeon Gold 6312U)",Yes,24,24,1,1,153   ,153   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (3.60 GHz, Intel Xeon Gold 6334)",Yes,16,16,2,1,142   ,142   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (2.10 GHz, Intel Xeon Gold 6338T)",Yes,48,48,2,1,220   ,220   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (2.60 GHz, Intel Xeon Gold 6348)",Yes,56,56,2,1,246   ,246   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (2.20 GHz, Intel Xeon Platinum 8352S)",Yes,64,64,2,1,251   ,252   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (2.40 GHz, Intel Xeon Silver 4314)",Yes,32,32,2,1,185   ,185   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (3.10 GHz, Intel Xeon Gold 6346)",Yes,32,32,2,1,215   ,215   
ASUSTeK Computer Inc.,"ASUS RS520A-E12(K14PA-U24) Server System 2.40 GHz, AMD EPYC 9654",Yes,96,96,1,2,324   ,327   
ASUSTeK Computer Inc.,"ASUS RS700A-E12(K14PP-D24) Server System 2.40 GHz, AMD EPYC 9654",Yes,192,192,2,2,437   ,460   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (3.00 GHz, Intel Xeon Gold 5317)",Yes,24,24,2,1,167   ,167   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (2.90 GHz, Intel Xeon Gold 6326)",Yes,32,32,2,1,204   ,204   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (2.10 GHz, Intel Xeon Platinum 8352V)",Yes,72,72,2,1,239   ,239   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (2.60 GHz, Intel Xeon Platinum 8368Q)",Yes,76,76,2,1,272   ,272   
ASUSTeK Computer Inc.,"ASUS RS720-E11(Z13PP-D32) Server System (2.00 GHz, Intel Xeon Platinum 8480+)",Yes,112,112,2,1,355   ,355   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (2.40 GHz, Intel Xeon Platinum 8360Y)",Yes,72,72,2,1,266   ,266   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (2.80 GHz, Intel Xeon Platinum 8362)",Yes,64,64,2,1,270   ,270   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (2.10 GHz, Intel Xeon Gold 5318N)",Yes,48,48,2,1,209   ,209   
ASUSTeK Computer Inc.,"ASUS RS720-E10(Z12PP-D32) Server System (2.20 GHz, Intel Xeon Gold 6338N)",Yes,64,64,2,1,235   ,235   
ASUSTeK Computer Inc.,"ASUS RS720-E11-RS12U(Z13PP-D32) Server System (2.00 GHz, Intel Xeon Platinum 8480+)",Yes,112,112,2,1,371   ,371   
ASUSTeK Computer Inc.,"ASUS RS720-E11-RS12U(Z13PP-D32) Server System (1.90 GHz, Intel Xeon Platinum 8490H)",Yes,120,120,2,1,370   ,370   
ASUSTeK Computer Inc.,"ASUS RS720-E10-RS12(Z12PP-D32) Server System (2.10 GHz, Intel Xeon Gold 5318Y)",Yes,48,48,2,1,210   ,210   
ASUSTeK Computer Inc.,"ASUS RS720-E10-RS12(Z12PP-D32) Server System (2.40 GHz, Intel Xeon Gold 6336Y)",Yes,48,48,2,1,229   ,229   
ASUSTeK Computer Inc.,"ASUS RS720-E10-RS12(Z12PP-D32) Server System (2.20 GHz, Intel Xeon Platinum 8352Y)",Yes,64,64,2,1,251   ,251   
ASUSTeK Computer Inc.,"ASUS RS720-E10-RS12(Z12PP-D32) Server System (3.20 GHz, Intel Xeon Gold 5315Y)",Yes,32,16,2,2,138   ,138   
ASUSTeK Computer Inc.,"ASUS RS720-E10-RS12(Z12PP-D32) Server System (2.30 GHz, Intel Xeon Silver 4310T)",Yes,40,20,2,2,140   ,140   
ASUSTeK Computer Inc.,"ASUS RS720-E10-RS12(Z12PP-D32) Server System (2.30 GHz, Intel Xeon Silver 4316)",Yes,40,40,2,1,189   ,189   
ASUSTeK Computer Inc.,"ASUS RS720-E10-RS12(Z12PP-D32) Server System (2.30 GHz, Intel Xeon Gold 5320T)",Yes,40,40,2,1,204   ,204   
ASUSTeK Computer Inc.,"ASUS RS720-E11-RS12U (2.00 GHz, Intel Xeon Platinum 8460Y+)",Yes,80,80,2,1,328   ,328   
ASUSTeK Computer Inc.,"ASUS RS720-E11-RS12U (2.10 GHz, Intel Xeon Platinum 8468H)",Yes,96,96,2,1,354   ,354   
ASUSTeK Computer Inc.,"ASUS RS720-E11-RS12U (1.90 GHz, Intel Xeon Platinum 8490H)",Yes,120,120,2,1,372   ,372   
ASUSTeK Computer Inc.,"ASUS RS720A-E12-RS12 (4.10 GHz, AMD EPYC 9174F)",Yes,64,32,2,2,279   ,289   
ASUSTeK Computer Inc.,"ASUS RS720A-E12-RS12 (3.85 GHz, AMD EPYC 9374F)",Yes,64,64,2,2,361   ,385   
ASUSTeK Computer Inc.,"ASUS RS720A-E12-RS12 (2.40 GHz, AMD EPYC 9654)",Yes,192,192,2,2,449   ,468   
ASUSTeK Computer Inc.,"ASUS RS520A-E12-RS12U (2.75 GHz, AMD EPYC 9454P)",Yes,48,48,1,2,264   ,278   
ASUSTeK Computer Inc.,"ASUS RS520A-E12-RS12U (3.10 GHz, AMD EPYC 9554)",Yes,64,64,1,2,300   ,307   
ASUSTeK Computer Inc.,"ASUS RS520A-E12-RS12U (2.40 GHz, AMD EPYC 9654)",Yes,96,96,1,2,329   ,331   
ASUSTeK Computer Inc.,"ASUS RS720-E11-RS12U (2.70 GHz, Intel Xeon Platinum 8458P)",Yes,88,88,2,1,351   ,352   
ASUSTeK Computer Inc.,"ASUS RS720-E11-RS12U (2.40 GHz, Intel Xeon Platinum 8468V)",Yes,96,96,2,1,352   ,352   
ASUSTeK Computer Inc.,"ASUS RS720-E10-RS12(Z12PP-D32) Server System (2.40 GHz, Intel Xeon Platinum 8351N)",Yes,36,36,1,1,172   ,172   
ASUSTeK Computer Inc.,"ASUS RS720-E10-RS12(Z12PP-D32) Server System (2.40 GHz, Intel Xeon Platinum 8368)",Yes,76,76,2,1,269   ,269   
ASUSTeK Computer Inc.,"ASUS RS720A-E12-RS12 (4.05 GHz, AMD EPYC 9274F)",Yes,48,48,2,2,309   ,336   
ASUSTeK Computer Inc.,"ASUS RS720A-E12-RS12 (3.10 GHz, AMD EPYC 9554)",Yes,128,128,2,2,430   ,445   
ASUSTeK Computer Inc.,"ASUS RS520A-E12-RS12U (4.10 GHz, AMD EPYC 9174F)",Yes,32,16,1,2,195   ,198   
ASUSTeK Computer Inc.,"ASUS RS520A-E12-RS12U (3.25 GHz, AMD EPYC 9354P)",Yes,32,32,1,2,239   ,255   
ASUSTeK Computer Inc.,"ASUS RS520A-E12-RS12U (4.05 GHz, AMD EPYC 9274F)",Yes,24,24,1,2,214   ,230   
ASUSTeK Computer Inc.,"ASUS RS520A-E12-RS12U (3.60 GHz, AMD EPYC 9474F)",Yes,48,48,1,2,277   ,290   
ASUSTeK Computer Inc.,"ASUS RS720A-E12-RS12 (3.25 GHz, AMD EPYC 9354)",Yes,64,64,2,2,338   ,360   
ASUSTeK Computer Inc.,"ASUS RS720A-E12-RS12 (3.60 GHz, AMD EPYC 9474F)",Yes,96,96,2,2,405   ,430   
ASUSTeK Computer Inc.,"ASUS RS720-E11-RS12U (2.20 GHz, Intel Xeon Platinum 8460H)",Yes,80,80,2,1,342   ,342   
ASUSTeK Computer Inc.,"ASUS RS720-E11-RS12U (1.70 GHz, Intel Xeon Platinum 8470N)",Yes,104,104,2,1,342   ,342   
ASUSTeK Computer Inc.,"ASUS RS720-E11-RS12U (2.10 GHz, Intel Xeon Gold 6430)",Yes,64,64,2,1,282   ,282   
ASUSTeK Computer Inc.,"ASUS RS720-E11-RS12U (2.00 GHz, Intel Xeon Platinum 8452Y)",Yes,72,72,2,1,298   ,298   
ASUSTeK Computer Inc.,"ASUS RS720-E10-RS12(Z12PP-D32) Server System (2.00 GHz, Intel Xeon Gold 6338)",Yes,64,64,2,1,244   ,244   
ASUSTeK Computer Inc.,"ASUS RS720-E10-RS12(Z12PP-D32) Server System (3.00 GHz, Intel Xeon Gold 6354)",Yes,36,36,2,1,213   ,213   
ASUSTeK Computer Inc.,"ASUS RS720-E10-RS12(Z12PP-D32) Server System (2.30 GHz, Intel Xeon Platinum 8352M)",Yes,64,64,2,1,252   ,252   
ASUSTeK Computer Inc.,"ASUS RS720-E10-RS12(Z12PP-D32) Server System (2.30 GHz, Intel Xeon Platinum 8380)",Yes,80,80,2,1,277   ,277   
ASUSTeK Computer Inc.,"ASUS RS720-E11-RS12U (2.00 GHz, Intel Xeon Gold 6414U)",Yes,32,32,1,1,202   ,202   
ASUSTeK Computer Inc.,"ASUS RS720-E11-RS12U (2.90 GHz, Intel Xeon Platinum 8444H)",Yes,64,32,2,2,251   ,251   
ASUSTeK Computer Inc.,"ASUS RS720-E11-RS12U (2.00 GHz, Intel Xeon Platinum 8450H)",Yes,56,56,2,1,271   ,271   
ASUSTeK Computer Inc.,"ASUS RS720-E11-RS12U (2.10 GHz, Intel Xeon Platinum 8454H)",Yes,64,64,2,1,300   ,300   
ASUSTeK Computer Inc.,"ASUS RS520A-E12-RS12U (2.25 GHz, AMD EPYC 9754)",Yes,128,128,1,2,316   ,318   
ASUSTeK Computer Inc.,"ASUS RS720A-E12-RS12 (2.25 GHz, AMD EPYC 9754)",Yes,256,256,2,2,430   ,448   
ASUSTeK Computer Inc.,"ASUS RS720-E11-RS12U (2.10 GHz, Intel Xeon Platinum 8468)",Yes,96,96,2,1,360   ,361   
ASUSTeK Computer Inc.,"ASUS RS720-E11-RS12U (2.20 GHz, Intel Xeon Gold 6454S)",Yes,64,64,2,1,299   ,299   
ASUSTeK Computer Inc.,"ASUS RS720-E11-RS12U (2.20 GHz, Intel Xeon Platinum 8461V)",Yes,48,48,1,1,239   ,239   
ASUSTeK Computer Inc.,"ASUS RS720-E11-RS12U (1.80 GHz, Intel Xeon Platinum 8471N)",Yes,52,52,1,1,243   ,243   
